ClockPeriod,InputDelay,OutputDelay,Area,Power,Time
500,0.7,0.3,196,1923.13,2837
500,0.7,0.4,196,1923.13,2837
500,0.7,0.5,196,1923.13,2837
500,0.7,0.6,196,1923.13,2837
500,0.7,0.7,196,1923.13,2837
500,0.7,0.8,196,1923.13,2837
500,0.7,0.9,196,1923.13,2837
500,0.7,1,196,1923.13,2837
500,0.8,0.1,196,1923.13,2937
500,0.8,0.2,196,1923.13,2937
500,0.8,0.3,196,1923.13,2937
500,0.8,0.4,196,1923.13,2937
500,0.8,0.5,196,1923.13,2937
500,0.8,0.6,196,1923.13,2937
500,0.8,0.7,196,1923.13,2937
500,0.8,0.8,196,1923.13,2937
500,0.8,0.9,196,1923.13,2937
500,0.8,1,196,1923.13,2937
500,0.9,0.1,196,1923.13,3037
500,0.9,0.2,196,1923.13,3037
500,0.9,0.3,196,1923.13,3037
500,0.9,0.4,196,1923.13,3037
500,0.9,0.5,196,1923.13,3037
500,0.9,0.6,196,1923.13,3037
500,0.9,0.7,196,1923.13,3037
500,0.9,0.8,196,1923.13,3037
500,0.9,0.9,196,1923.13,3037
500,0.9,1,196,1923.13,3037
500,1,0.1,196,1923.13,3137
500,1,0.2,196,1923.13,3137
500,1,0.3,196,1923.13,3137
500,1,0.4,196,1923.13,3137
500,1,0.5,196,1923.13,3137
500,1,0.6,196,1923.13,3137
500,1,0.7,196,1923.13,3137
500,1,0.8,196,1923.13,3137
500,1,0.9,196,1923.13,3137
500,1,1,196,1923.13,3137
50,0.1,0.1,196,2635.134,2237
50,0.1,0.2,196,2635.134,2237
50,0.1,0.3,196,2635.134,2237
50,0.1,0.4,196,2635.134,2237
50,0.1,0.5,196,2635.134,2237
50,0.1,0.6,196,2635.134,2237
50,0.1,0.7,196,2635.134,2237
50,0.1,0.8,196,2635.134,2237
50,0.1,0.9,196,2635.134,2237
50,0.1,1,196,2635.134,2237
50,0.2,0.1,196,2635.134,2337
50,0.2,0.2,196,2635.134,2337
50,0.2,0.3,196,2635.134,2337
50,0.2,0.4,196,2635.134,2337
50,0.2,0.5,196,2635.134,2337
50,0.2,0.6,196,2635.134,2337
50,0.2,0.7,196,2635.134,2337
50,0.2,0.8,196,2635.134,2337
50,0.2,0.9,196,2635.134,2337
50,0.2,1,196,2635.134,2337
50,0.3,0.1,196,2635.134,2437
50,0.3,0.2,196,2635.134,2437
50,0.3,0.3,196,2635.134,2437
50,0.3,0.4,196,2635.134,2437
50,0.3,0.5,196,2635.134,2437
50,0.3,0.6,196,2635.134,2437
50,0.3,0.7,196,2635.134,2437
50,0.3,0.8,196,2635.134,2437
50,0.3,0.9,196,2635.134,2437
50,0.3,1,196,2635.134,2437
50,0.4,0.1,196,2635.134,2537
50,0.4,0.2,196,2635.134,2537
50,0.4,0.3,196,2635.134,2537
50,0.4,0.4,196,2635.134,2537
50,0.4,0.5,196,2635.134,2537
50,0.4,0.6,196,2635.134,2537
50,0.4,0.7,196,2635.134,2537
50,0.4,0.8,196,2635.134,2537
50,0.4,0.9,196,2635.134,2537
50,0.4,1,196,2635.134,2537
50,0.5,0.1,196,2635.134,2637
50,0.5,0.2,196,2635.134,2637
50,0.5,0.3,196,2635.134,2637
50,0.5,0.4,196,2635.134,2637
50,0.5,0.5,196,2635.134,2637
50,0.5,0.6,196,2635.134,2637
50,0.5,0.7,196,2635.134,2637
50,0.5,0.8,196,2635.134,2637
50,0.5,0.9,196,2635.134,2637
50,0.5,1,196,2635.134,2637
50,0.6,0.1,196,2635.134,2737
50,0.6,0.2,196,2635.134,2737
50,0.6,0.3,196,2635.134,2737
50,0.6,0.4,196,2635.134,2737
50,0.6,0.5,196,2635.134,2737
50,0.6,0.6,196,2635.134,2737
50,0.6,0.7,196,2635.134,2737
50,0.6,0.8,196,2635.134,2737
50,0.6,0.9,196,2635.134,2737
50,0.6,1,196,2635.134,2737
50,0.7,0.1,196,2635.134,2837
